stid,region,admin,year,quarter,temp_b_adj,salinity_b_adj,pH_b_adj,DO_b_adj,COD_b_adj,NH3-N_b_adj,NO2-_b_adj,NO3-_b_adj,DIN_b_adj,TN_b_adj,DIP_b_adj,TP_b_adj,SAS_b_adj,SS_b_adj,Chla_b_adj,time_num
CC2205,West,Seosan,2019,1,-7.618,0.036,-0.193,0.773,0.313,-1.237,-3.186,74.500,70.076,84.135,11.859,17.669,216.982,28.691,-1.274,2019.000
CC2205,West,Seosan,2019,2,-3.742,0.089,-0.010,0.791,0.061,69.159,-2.260,22.821,89.726,38.340,-1.537,-3.496,-96.039,7.788,-0.604,2019.250
CC2205,West,Seosan,2019,3,8.591,0.090,0.052,-0.555,0.010,-9.003,-3.518,-99.369,-111.884,-95.647,-11.031,-13.023,-122.524,-12.918,3.176,2019.500
CC2205,West,Seosan,2019,4,4.557,0.358,-0.090,-1.256,-0.128,-6.880,1.238,-55.080,-60.704,-71.921,0.774,-0.402,16.849,-13.694,-0.909,2019.750
CC2205,West,Seosan,2020,1,-8.955,0.192,0.013,1.528,0.199,-6.126,-4.165,70.441,60.155,53.325,7.936,7.670,139.741,21.215,-0.524,2020.000
CC2205,West,Seosan,2020,2,-3.217,0.161,-0.088,0.381,0.440,1.286,-1.306,41.651,41.645,-10.006,-0.602,4.994,-125.012,72.783,0.671,2020.250
CC2205,West,Seosan,2020,3,6.343,-0.719,-0.148,-1.689,0.180,10.206,13.944,-45.679,-21.525,-36.796,-3.172,4.814,-71.192,2.683,-1.099,2020.500
CC2205,West,Seosan,2020,4,1.333,-0.559,0.012,-0.689,0.080,-8.024,2.024,-22.819,-28.805,-57.506,-0.502,-3.156,1.128,-1.917,-0.399,2020.750
CC2205,West,Seosan,2021,1,-8.943,-0.392,0.030,2.494,0.162,-2.890,-3.402,85.320,79.036,70.669,7.444,6.138,163.739,-0.744,-1.929,2021.000
CC2205,West,Seosan,2021,2,-2.389,-0.490,-0.078,1.115,0.020,9.897,-0.868,17.081,26.016,29.403,-2.911,-4.203,-100.124,-0.448,0.096,2021.250
CC2205,West,Seosan,2021,3,9.578,-0.077,-0.236,-2.858,-0.152,3.772,-3.782,-90.378,-90.385,-108.273,-10.667,-14.657,-103.295,-7.621,0.347,2021.500
CC2205,West,Seosan,2021,4,0.451,-0.060,0.002,-0.455,-0.170,-3.213,-1.308,53.131,48.606,-58.237,12.249,0.677,207.626,-13.848,-1.264,2021.750
CC2205,West,Seosan,2022,1,-10.027,-0.069,0.102,1.851,1.000,-5.484,-3.546,46.791,37.765,0.004,5.248,1.114,101.408,-13.217,-0.819,2022.000
CC2205,West,Seosan,2022,2,-1.848,-0.064,0.097,1.103,0.173,-7.117,-3.296,-45.980,-56.484,-60.005,-9.861,-4.401,-134.718,-14.039,0.746,2022.250
CC2205,West,Seosan,2022,3,12.030,-0.225,0.007,-1.454,0.414,-2.636,-3.417,-111.190,-117.233,-97.906,-12.419,-14.418,-170.450,-17.571,-0.969,2022.500
CC2205,West,Seosan,2022,4,1.181,-0.350,0.292,-0.755,0.520,-7.003,3.932,3.681,0.616,15.503,2.789,0.697,35.476,-10.848,-0.704,2022.750
CC2205,West,Seosan,2023,1,-7.886,-0.333,-0.062,1.270,0.193,-3.708,-3.254,74.820,67.866,31.287,7.848,5.965,144.855,1.593,-2.389,2023.000
CC2205,West,Seosan,2023,2,-0.488,-0.354,0.157,1.603,0.483,-4.307,-3.256,-44.360,-51.924,-65.575,-7.481,-10.691,-186.718,-9.309,1.576,2023.250
CC2205,West,Seosan,2023,3,10.130,-1.110,-0.019,-1.412,0.671,12.408,-2.929,-92.769,-83.274,-116.209,-10.699,-13.059,-108.156,-15.650,0.051,2023.500
CC2205,West,Seosan,2023,4,4.270,-0.180,-0.049,-0.982,-0.679,-6.252,5.291,4.321,3.366,-72.419,4.741,-3.359,84.254,-2.650,-1.059,2023.750
CC2205,West,Seosan,2024,1,-6.826,-0.263,-0.062,1.460,-0.117,3.262,-3.184,85.500,85.596,44.487,9.958,5.435,275.595,20.923,7.681,2024.000
CC2205,West,Seosan,2024,2,-0.258,-0.234,0.047,0.713,0.313,-1.647,-2.576,-17.470,-21.684,-32.535,-4.221,-6.751,-130.078,-7.139,1.646,2024.250
CC2205,West,Seosan,2024,3,10.953,-0.709,-0.018,-0.909,0.310,-3.784,-2.156,-89.509,-95.445,-127.536,-10.582,-10.686,-111.992,-9.517,3.491,2024.500
CC2205,West,Seosan,2024,4,6.735,0.517,-0.031,-1.633,-0.658,-5.529,0.297,-14.800,-20.034,-93.092,1.416,-3.539,103.987,-6.676,-1.764,2024.750
CC2209,West,Taean,2014,1,-8.245,-0.192,-0.039,1.928,-0.426,-2.613,-5.164,6.647,-1.133,222.487,9.040,5.648,95.649,-6.386,-0.410,2014.000
CC2209,West,Taean,2014,2,-2.548,-0.269,-0.062,0.902,-0.461,3.968,-1.297,53.046,55.716,120.991,0.239,-4.528,-28.913,-7.197,-0.757,2014.250
CC2209,West,Taean,2014,3,7.397,-0.028,0.076,-1.780,-0.256,8.598,7.552,-40.201,-24.052,11.826,-5.996,-10.401,-39.720,-7.682,-0.816,2014.500
CC2209,West,Taean,2014,4,4.784,0.726,0.111,-1.535,-0.625,-1.756,17.899,-84.540,-68.400,42.321,-5.193,-8.096,-143.952,-3.907,-0.169,2014.750
CC2209,West,Taean,2015,1,-8.945,0.347,0.115,1.364,-0.033,-3.587,-3.323,83.725,76.814,106.994,6.337,14.112,132.977,0.675,-0.805,2015.000
CC2209,West,Taean,2015,2,-3.988,0.290,0.076,1.223,-0.430,-3.323,-2.417,18.505,12.865,151.693,-2.362,-1.473,-165.571,3.157,1.864,2015.250
CC2209,West,Taean,2015,3,9.308,0.284,-0.025,-1.365,-0.076,2.750,5.170,-83.955,-76.036,-46.105,-8.463,-9.703,-92.776,-9.708,0.985,2015.500
CC2209,West,Taean,2015,4,4.395,0.447,0.005,-1.016,-0.463,-2.287,-2.323,-17.875,-22.486,52.094,1.537,3.412,66.077,-5.925,-1.035,2015.750
CC2209,West,Taean,2016,1,-8.625,0.377,0.077,2.412,0.056,0.305,-4.403,95.066,90.965,-5.808,9.738,30.957,295.734,1.521,-1.037,2016.000
CC2209,West,Taean,2016,2,-2.116,0.325,0.047,-0.181,0.027,1.062,0.759,53.779,55.598,-33.475,-5.595,-4.086,4.333,-2.800,-0.716,2016.250
CC2209,West,Taean,2016,3,9.038,0.114,0.025,-0.955,0.004,6.150,-1.130,-99.955,-94.936,-42.305,-12.863,-7.103,-151.176,-9.308,2.545,2016.500
CC2209,West,Taean,2016,4,2.227,0.430,0.031,-1.404,-0.883,1.425,-1.408,1.577,1.495,13.233,3.202,5.363,111.208,-4.222,-1.491,2016.750
CC2209,West,Taean,2017,1,-8.414,0.439,0.056,1.387,-0.095,-5.364,-1.986,99.322,91.981,54.010,3.381,14.806,126.559,15.896,-1.525,2017.000
CC2209,West,Taean,2017,2,-2.412,0.334,0.035,1.025,-0.366,-5.210,-1.280,30.275,23.784,-46.905,-1.283,-4.103,-167.946,-3.508,1.005,2017.250
CC2209,West,Taean,2017,3,8.272,0.202,-0.017,-1.530,0.040,-5.183,7.471,-64.159,-61.871,-126.796,0.939,-10.450,-78.634,-5.715,0.747,2017.500
CC2209,West,Taean,2017,4,0.075,0.307,0.066,-0.243,0.060,-5.080,2.285,-25.131,-27.924,-80.238,4.816,-7.720,6.981,-10.237,-0.768,2017.750
CC2209,West,Taean,2018,1,-9.809,0.169,0.058,1.001,0.364,-3.187,0.104,77.853,74.770,69.703,11.834,7.637,99.079,11.370,-1.749,2018.000
CC2209,West,Taean,2018,2,-4.169,0.029,-0.122,-0.599,1.374,-2.127,-2.306,-38.487,-42.920,-31.697,-12.876,-3.673,-163.791,4.650,1.181,2018.250
CC2209,West,Taean,2018,3,7.071,-0.021,0.038,-0.249,0.364,-0.737,-2.096,-90.357,-93.190,-94.637,-8.566,-7.953,-139.371,-9.130,-0.279,2018.500
CC2209,West,Taean,2018,4,2.641,0.169,-0.172,-1.249,-0.226,-4.447,-0.756,-10.647,-15.850,-20.917,5.264,-0.603,73.649,-1.600,-1.309,2018.750
CC2209,West,Taean,2019,1,-8.482,0.014,-0.105,1.165,0.934,-3.880,-3.740,79.485,71.854,76.595,12.667,11.937,177.824,29.392,-0.695,2019.000
CC2209,West,Taean,2019,2,-5.474,-0.061,-0.034,1.065,-0.426,-6.352,1.201,62.948,57.793,35.708,5.327,-5.174,29.949,10.226,-0.329,2019.250
CC2209,West,Taean,2019,3,9.405,-0.133,0.066,-0.283,0.000,10.710,-3.145,-89.251,-81.684,-18.898,-10.494,-12.010,-83.849,-13.007,3.772,2019.500
CC2209,West,Taean,2019,4,2.599,0.135,-0.111,-0.979,-0.436,12.581,3.514,-13.494,2.610,43.196,4.904,5.045,150.584,-13.296,-1.864,2019.750
CC2209,West,Taean,2020,1,-7.072,0.164,0.015,1.085,0.294,9.320,-4.180,75.715,80.854,61.825,10.677,22.387,145.174,27.992,-0.965,2020.000
CC2209,West,Taean,2020,2,-3.785,-0.064,-0.089,0.596,-0.203,-1.596,3.063,70.740,72.214,146.987,3.792,15.142,12.912,18.982,0.494,2020.250
CC2209,West,Taean,2020,3,9.090,-1.483,-0.101,-2.116,0.370,16.574,5.438,-67.717,-45.707,-39.154,-8.207,-8.719,-125.099,-5.943,-0.398,2020.500
CC2209,West,Taean,2020,4,3.035,-0.202,-0.029,-0.852,0.124,-2.473,4.186,-26.723,-25.023,-59.993,-3.520,-5.742,-40.111,-4.486,-0.520,2020.750
CC2209,West,Taean,2021,1,-8.495,-0.372,-0.079,3.448,-0.016,-4.663,-3.304,58.667,50.697,16.377,5.840,5.908,67.849,8.014,-1.070,2021.000
CC2209,West,Taean,2021,2,-2.598,-0.328,0.063,1.450,-0.880,-5.663,-0.419,21.511,15.429,29.064,-1.431,-0.620,-136.884,3.985,0.187,2021.250
CC2209,West,Taean,2021,3,8.702,-0.068,-0.277,-3.940,-0.040,8.637,0.381,-82.289,-73.271,-74.906,-7.621,-11.400,-81.514,-2.715,-0.373,2021.500
CC2209,West,Taean,2021,4,3.670,-0.013,-0.241,-1.136,-0.310,2.094,-2.532,21.533,21.103,-67.284,9.613,5.421,122.561,-3.343,-0.908,2021.750
CC2209,West,Taean,2022,1,-9.165,-0.193,0.106,1.847,0.530,-6.200,-2.385,62.909,54.326,44.072,7.566,9.130,140.791,8.663,-1.528,2022.000
CC2209,West,Taean,2022,2,-3.889,-0.161,0.108,1.801,1.154,-5.787,-2.396,-25.057,-33.240,-52.497,-7.866,-1.653,-134.201,-8.230,0.851,2022.250
CC2209,West,Taean,2022,3,8.778,-0.137,0.070,-0.737,0.470,-3.337,-2.352,-81.094,-86.778,-78.520,-10.937,-10.621,-94.634,-12.559,-0.323,2022.500
CC2209,West,Taean,2022,4,2.007,0.000,0.301,-1.064,0.357,-3.375,-0.908,-26.223,-30.505,-4.067,-2.098,3.563,-10.492,10.478,-0.141,2022.750
CC2209,West,Taean,2023,1,-8.963,-0.350,-0.049,1.566,0.387,-4.145,-3.008,83.007,75.855,-33.307,8.892,-2.747,118.568,10.978,-0.651,2023.000
CC2209,West,Taean,2023,2,-3.209,-0.391,0.118,1.261,0.754,4.073,-1.396,0.113,2.790,-28.417,-2.956,-5.503,-165.301,-6.000,0.701,2023.250
CC2209,West,Taean,2023,3,8.324,-0.755,-0.003,-0.851,0.937,-1.568,-2.421,-97.111,-101.102,-129.195,-13.525,-11.626,-178.027,-5.400,0.564,2023.500
CC2209,West,Taean,2023,4,4.578,0.064,-0.025,-1.775,-0.286,-1.290,1.560,-3.345,-3.076,-57.005,4.047,-1.523,65.824,-4.338,-0.795,2023.750
CC2209,West,Taean,2024,1,-7.482,-0.186,-0.055,1.235,0.394,3.370,-3.240,84.825,84.954,30.645,10.337,6.387,202.434,16.662,7.965,2024.000
CC2209,West,Taean,2024,2,-3.172,-0.217,0.050,1.103,-0.680,-0.047,-0.462,11.766,11.252,-1.900,-1.497,3.219,-80.874,-3.559,1.477,2024.250
CC2209,West,Taean,2024,3,9.891,-0.221,-0.062,-1.509,-0.646,2.833,2.954,-74.407,-68.620,-96.587,-7.516,-10.403,-28.941,-6.630,0.131,2024.500
CC2209,West,Taean,2024,4,5.772,0.482,-0.017,-1.520,-0.730,0.827,2.241,-10.989,-7.921,-59.206,0.879,-2.440,85.056,-5.815,-1.043,2024.750
CC2210,West,Taean,2014,1,-8.463,-0.187,-0.049,1.961,-0.845,1.095,0.287,22.295,23.683,202.789,4.374,-0.406,49.701,19.626,1.699,2014.000
CC2210,West,Taean,2014,2,-3.822,-0.099,0.081,0.884,-0.052,-1.441,-2.263,-32.054,-35.754,37.550,-3.952,-9.819,-117.660,-6.280,-2.341,2014.250
CC2210,West,Taean,2014,3,5.540,0.117,0.118,-1.133,-0.227,-2.948,-2.325,-38.386,-43.654,51.204,-6.378,0.858,-33.687,-3.225,4.860,2014.500
CC2210,West,Taean,2014,4,-0.771,1.096,0.057,-0.726,-0.724,-2.189,0.683,-34.373,-35.874,61.475,-2.583,-6.526,-71.213,-3.034,1.298,2014.750
CC2210,West,Taean,2015,1,-10.089,0.421,0.036,1.292,-0.051,-6.633,-0.781,119.473,112.064,125.751,9.321,13.054,133.030,8.806,-0.965,2015.000
CC2210,West,Taean,2015,2,-1.702,0.340,0.013,-0.091,-0.314,0.321,-2.164,-39.977,-41.815,42.571,-7.020,-11.417,-149.991,-5.096,-1.255,2015.250
CC2210,West,Taean,2015,3,9.312,0.272,-0.045,-1.630,0.557,-1.555,-2.187,-42.218,-46.055,-19.541,-2.905,-2.364,-11.814,-5.069,0.951,2015.500
CC2210,West,Taean,2015,4,-1.455,0.589,-0.080,-0.433,-1.336,12.176,8.852,28.073,49.106,65.492,8.038,-1.288,137.289,-0.598,-1.885,2015.750
CC2210,West,Taean,2016,1,-11.184,0.569,0.063,2.266,-0.481,-3.420,-1.657,141.936,136.865,139.642,14.574,32.598,331.184,10.095,-1.757,2016.000
CC2210,West,Taean,2016,2,-0.735,0.268,0.172,0.453,0.232,-3.061,-1.549,-46.550,-51.055,-79.987,-9.131,-8.186,-206.741,-5.714,-2.258,2016.250
CC2210,West,Taean,2016,3,15.781,-0.381,-0.159,-3.378,-0.005,32.292,-0.085,-61.073,-28.859,36.293,-3.916,6.858,60.068,-8.225,-0.441,2016.500
CC2210,West,Taean,2016,4,3.356,0.347,-0.023,-1.764,-1.014,1.205,2.939,17.691,21.742,19.185,5.937,3.502,80.623,2.164,-2.383,2016.750
CC2210,West,Taean,2017,1,-7.002,0.303,-0.016,1.129,-0.240,-5.981,-1.173,110.149,103.001,44.779,12.460,6.430,137.506,7.520,-2.412,2017.000
CC2210,West,Taean,2017,2,3.146,0.237,0.037,0.336,-0.054,-7.115,-2.241,-61.239,-70.588,-31.715,-9.863,-13.798,-238.397,-7.036,-1.383,2017.250
CC2210,West,Taean,2017,3,8.588,0.591,0.021,-0.996,0.718,-9.261,-3.053,-36.264,-48.574,-89.990,6.748,0.001,28.180,-1.430,0.809,2017.500
CC2210,West,Taean,2017,4,-2.238,0.606,0.103,0.151,0.526,-5.771,0.394,-46.066,-51.427,-101.474,4.490,-8.673,-67.493,-3.947,-0.005,2017.750
CC2210,West,Taean,2018,1,-11.853,0.364,0.019,-0.155,-0.333,-0.828,0.478,105.838,105.494,58.317,11.843,6.771,-6.909,4.442,-2.987,2018.000
CC2210,West,Taean,2018,2,0.946,-0.393,-0.023,-2.404,0.396,-5.005,-1.141,-60.209,-66.348,-22.385,-9.483,-4.618,-193.427,2.464,-0.923,2018.250
CC2210,West,Taean,2018,3,8.258,0.121,0.051,0.144,0.588,-5.011,-1.763,-37.054,-43.824,-69.550,-4.852,3.251,-145.900,-0.930,-0.911,2018.500
CC2210,West,Taean,2018,4,4.841,0.089,-0.109,-1.728,-0.335,9.392,7.525,-25.393,-8.479,-10.097,1.334,5.598,87.418,1.445,-1.441,2018.750
CC2210,West,Taean,2019,1,-11.988,0.352,-0.165,1.330,0.187,-3.865,-1.437,117.532,112.245,73.559,15.775,10.286,179.526,6.431,-1.289,2019.000
CC2210,West,Taean,2019,2,-1.678,0.046,0.123,1.891,0.856,6.889,-2.316,-45.836,-41.267,3.626,-10.230,-3.563,-225.613,-4.197,-0.185,2019.250
CC2210,West,Taean,2019,3,15.141,-0.461,-0.009,-1.688,0.645,-5.118,-2.685,-69.963,-77.759,-47.457,-8.556,-4.442,2.408,-6.925,2.539,2019.500
CC2210,West,Taean,2019,4,-1.712,0.501,-0.069,-0.496,-0.292,-9.451,2.527,-14.154,-21.084,-38.470,3.278,3.041,-6.180,1.720,2.209,2019.750
CC2210,West,Taean,2020,1,-8.893,0.314,-0.041,0.945,-0.183,6.522,-1.522,117.338,122.334,70.787,14.593,18.091,145.071,9.042,-1.857,2020.000
CC2210,West,Taean,2020,2,-3.472,0.371,0.001,0.934,0.058,0.509,-2.853,-33.784,-36.134,-58.980,-8.062,-8.249,-185.350,-0.680,0.689,2020.250
CC2210,West,Taean,2020,3,6.618,-4.109,-0.159,-2.056,0.628,60.539,10.387,75.356,146.286,227.090,4.298,9.671,189.600,-5.330,-1.811,2020.500
CC2210,West,Taean,2020,4,2.776,-0.143,0.027,-0.224,0.256,-2.845,-1.001,-58.749,-62.588,-63.755,-7.133,-8.868,-48.617,-7.636,-0.523,2020.750
CC2210,West,Taean,2021,1,-9.028,-0.294,-0.187,2.481,-0.364,-7.531,-0.046,90.254,82.673,54.306,7.590,5.987,50.807,0.553,-2.575,2021.000
CC2210,West,Taean,2021,2,-3.402,-0.069,-0.099,2.234,0.348,-9.341,-1.663,-35.954,-46.954,-6.950,-8.052,-4.719,-185.860,0.020,1.329,2021.250
CC2210,West,Taean,2021,3,9.502,-0.198,-0.405,-4.030,-0.193,3.045,-1.287,-39.218,-37.455,-50.601,-0.655,-2.114,156.986,0.531,0.361,2021.500
CC2210,West,Taean,2021,4,3.456,-0.063,-0.233,-1.044,-0.364,-0.975,5.279,39.431,43.742,-29.115,8.217,4.802,158.533,0.564,-1.133,2021.750
CC2210,West,Taean,2022,1,-7.264,-0.163,0.137,2.426,-0.074,-1.695,0.139,23.491,21.842,-10.415,1.137,0.302,35.423,-4.436,2.457,2022.000
CC2210,West,Taean,2022,2,-2.888,0.092,0.145,1.450,1.297,-8.855,-2.787,-44.018,-55.755,-64.741,-10.205,-4.564,-193.214,-4.269,-2.409,2022.250
CC2210,West,Taean,2022,3,9.998,-0.149,0.081,-0.916,-0.662,-5.041,-2.363,-37.254,-44.654,-92.150,-4.252,-6.219,-124.160,-3.080,-1.461,2022.500
CC2210,West,Taean,2022,4,2.696,0.057,0.287,-0.724,0.346,-3.395,-0.661,-47.309,-51.258,-64.015,-5.763,-6.198,-62.777,-3.236,0.537,2022.750
CC2210,West,Taean,2023,1,-8.718,-0.244,-0.057,1.781,-0.344,-5.811,-0.116,63.934,58.013,-16.074,4.520,-2.473,10.287,1.353,-1.275,2023.000
CC2210,West,Taean,2023,2,0.342,-0.394,0.323,3.531,1.326,-2.941,-2.826,-57.656,-63.417,-50.184,-10.880,-7.343,-230.423,0.753,0.455,2023.250
CC2210,West,Taean,2023,3,7.462,-1.378,0.045,-1.150,0.697,-7.095,-2.357,-42.208,-51.655,-69.431,-7.295,-3.854,130.226,3.261,6.411,2023.500
CC2210,West,Taean,2023,4,-0.772,0.341,-0.049,-1.046,-0.492,3.319,9.497,36.776,49.596,-19.270,8.888,3.971,177.420,8.690,-1.801,2023.750
CC2210,West,Taean,2024,1,-7.508,-0.134,-0.047,1.441,-0.184,-0.091,-0.496,14.374,13.793,-67.964,0.120,-4.113,12.137,3.923,12.845,2024.000
CC2210,West,Taean,2024,2,-3.142,0.771,0.111,1.604,0.388,-3.181,-2.513,-33.714,-39.404,-43.660,-7.692,-3.849,-185.850,-1.780,0.599,2024.250
CC2210,West,Taean,2024,3,10.098,-1.069,0.011,-1.736,0.028,2.439,-1.653,-21.064,-20.264,-38.490,-0.442,3.441,288.410,-0.080,-0.611,2024.500
CC2210,West,Taean,2024,4,1.922,0.752,-0.035,-1.120,-0.913,-2.295,3.973,17.802,19.475,-57.951,1.765,-0.844,109.446,-1.169,0.241,2024.750
CE2519,East,Samchuk,2014,1,-2.316,0.125,0.090,0.088,-0.224,1.126,1.345,-11.992,-9.519,12.313,-3.482,-1.972,57.790,0.146,1.370,2014.000
CE2519,East,Samchuk,2014,2,1.004,0.257,0.077,1.114,-0.529,-5.324,-2.030,-51.190,-58.530,-10.246,2.461,-4.518,-130.648,1.927,-0.343,2014.250
CE2519,East,Samchuk,2014,3,8.609,-0.498,0.030,0.048,0.225,-6.561,-2.062,-60.340,-68.952,-16.081,-9.150,-10.357,-204.589,-3.393,-0.519,2014.500
CE2519,East,Samchuk,2014,4,5.419,-0.588,0.020,-0.112,-0.095,-2.761,-1.862,-58.340,-62.952,-61.381,-8.350,-9.557,-145.689,-2.893,0.271,2014.750
CE2519,East,Samchuk,2015,1,-4.806,0.257,-0.033,0.914,-1.059,-5.524,1.370,34.810,30.670,79.154,2.661,1.382,92.752,-4.573,-0.443,2015.000
CE2519,East,Samchuk,2015,2,-5.311,0.062,-0.020,2.188,-0.555,-3.761,-1.662,-44.640,-50.152,31.119,-5.650,-2.557,-106.389,-2.393,0.691,2015.250
CE2519,East,Samchuk,2015,3,1.659,-0.758,0.000,1.528,-0.205,-0.661,-2.062,-58.540,-61.252,55.719,-7.950,-8.057,-164.789,-2.993,-0.249,2015.500
CE2519,East,Samchuk,2015,4,-1.011,-0.568,0.110,0.678,-0.485,1.139,2.438,-28.740,-25.052,5.019,-4.650,-5.757,-27.589,-3.293,-0.419,2015.750
CE2519,East,Samchuk,2016,1,-5.991,0.143,0.014,0.691,-0.393,5.714,2.601,62.161,70.393,104.989,5.772,-2.380,117.392,9.847,-1.006,2016.000
CE2519,East,Samchuk,2016,2,-0.746,0.278,-0.159,0.457,-0.557,-1.249,-1.368,-37.188,-39.785,-11.476,-3.817,-4.041,-167.568,-1.733,-0.539,2016.250
CE2519,East,Samchuk,2016,3,0.694,0.618,-0.129,-0.693,-0.417,4.751,-2.068,-34.388,-31.685,-25.776,-5.117,-4.341,10.832,-1.333,0.021,2016.500
CE2519,East,Samchuk,2016,4,0.734,-0.312,0.071,-0.773,-0.287,-0.349,2.432,-4.488,-2.285,7.824,-0.617,-4.241,22.032,3.767,-0.909,2016.750
CE2519,East,Samchuk,2017,1,-2.636,0.518,0.101,-0.083,-0.477,-0.149,0.772,23.012,23.655,26.704,1.673,3.629,33.612,-2.733,-1.079,2017.000
CE2519,East,Samchuk,2017,2,-6.146,0.308,-0.099,-0.263,-0.387,-4.949,0.782,94.452,90.305,72.124,13.323,9.859,224.352,-2.283,-0.319,2017.250
CE2519,East,Samchuk,2017,3,9.322,-0.451,-0.006,-1.469,0.443,-5.943,-0.596,-49.835,-56.361,-78.434,-7.674,-9.518,-67.369,1.067,-0.376,2017.500
CE2519,East,Samchuk,2017,4,1.019,-0.217,0.038,-0.777,0.289,1.609,3.063,12.122,16.817,9.329,10.974,2.337,59.143,-0.212,-0.542,2017.750
CE2519,East,Samchuk,2018,1,-2.836,0.286,0.034,0.681,-0.772,2.051,1.017,34.909,37.996,13.203,7.350,3.635,78.581,3.587,-0.566,2018.000
CE2519,East,Samchuk,2018,2,0.229,0.383,0.104,0.711,1.007,8.544,-1.809,-44.209,-37.457,-89.791,-8.628,-3.740,-153.278,1.247,0.654,2018.250
CE2519,East,Samchuk,2018,3,6.314,-0.562,-0.139,0.307,-0.077,-0.459,-2.068,-36.488,-38.995,-34.606,-7.797,-5.051,-144.188,10.767,-0.029,2018.500
CE2519,East,Samchuk,2018,4,2.974,-0.362,0.101,-0.963,0.023,-0.989,-1.038,-25.748,-28.375,-27.186,-5.177,-4.151,-72.198,0.437,-0.049,2018.750
