stid,region,admin,variable,n,start_year,end_year,intercept,slope,p_value,r^2
CE2519,East,Samchuk,pH_b_adj,44.000,2014.000,2024.000,8.518,-0.004,0.301,0.025
CE2519,East,Samchuk,salinity_b_adj,44.000,2014.000,2024.000,-16.030,0.008,0.747,0.003
CE2519,East,Samchuk,temp_b_adj,44.000,2014.000,2024.000,118.437,-0.059,0.780,0.002
CE2522,East,Donghae,COD_b_adj,44.000,2014.000,2024.000,-167.680,0.083,0.001,0.251
CE2522,East,Donghae,Chla_b_adj,44.000,2014.000,2024.000,10.546,-0.005,0.859,0.001
CE2522,East,Donghae,DIN_b_adj,44.000,2014.000,2024.000,-8938.945,4.427,0.056,0.084
CE2522,East,Donghae,DIP_b_adj,44.000,2014.000,2024.000,-1218.998,0.604,0.106,0.061
CE2522,East,Donghae,DO_b_adj,44.000,2014.000,2024.000,177.307,-0.088,0.075,0.073
CE2522,East,Donghae,NH3-N_b_adj,44.000,2014.000,2024.000,-146.770,0.073,0.771,0.002
CE2522,East,Donghae,NO2-_b_adj,44.000,2014.000,2024.000,-218.910,0.108,0.216,0.036
CE2522,East,Donghae,NO3-_b_adj,44.000,2014.000,2024.000,-8568.146,4.243,0.066,0.078
CE2522,East,Donghae,SAS_b_adj,44.000,2014.000,2024.000,-18287.144,9.056,0.098,0.064
CE2522,East,Donghae,SS_b_adj,44.000,2014.000,2024.000,-513.939,0.255,0.082,0.070
CE2522,East,Donghae,TN_b_adj,44.000,2014.000,2024.000,14040.709,-6.953,0.006,0.169
CE2522,East,Donghae,TP_b_adj,44.000,2014.000,2024.000,-1419.453,0.703,0.041,0.096
CE2522,East,Donghae,pH_b_adj,44.000,2014.000,2024.000,11.286,-0.006,0.245,0.032
CE2522,East,Donghae,salinity_b_adj,44.000,2014.000,2024.000,20.434,-0.010,0.539,0.009
CE2522,East,Donghae,temp_b_adj,44.000,2014.000,2024.000,-528.614,0.262,0.184,0.042
CE2527,East,Gangneung,COD_b_adj,44.000,2014.000,2024.000,-110.692,0.055,0.029,0.109
CE2527,East,Gangneung,Chla_b_adj,44.000,2014.000,2024.000,11.120,-0.006,0.929,0.000
CE2527,East,Gangneung,DIN_b_adj,44.000,2014.000,2024.000,-9696.109,4.802,0.029,0.108
CE2527,East,Gangneung,DIP_b_adj,44.000,2014.000,2024.000,-1109.554,0.549,0.125,0.055
CE2527,East,Gangneung,DO_b_adj,44.000,2014.000,2024.000,107.954,-0.053,0.228,0.034
CE2527,East,Gangneung,NH3-N_b_adj,44.000,2014.000,2024.000,-726.523,0.360,0.126,0.055
CE2527,East,Gangneung,NO2-_b_adj,44.000,2014.000,2024.000,-343.492,0.170,0.075,0.074
CE2527,East,Gangneung,NO3-_b_adj,44.000,2014.000,2024.000,-8617.894,4.268,0.043,0.094
CE2527,East,Gangneung,SAS_b_adj,44.000,2014.000,2024.000,-19817.885,9.814,0.056,0.084
CE2527,East,Gangneung,SS_b_adj,44.000,2014.000,2024.000,-662.991,0.328,0.093,0.066
CE2527,East,Gangneung,TN_b_adj,44.000,2014.000,2024.000,13174.734,-6.524,0.008,0.157
CE2527,East,Gangneung,TP_b_adj,44.000,2014.000,2024.000,-1228.003,0.608,0.100,0.063
CE2527,East,Gangneung,pH_b_adj,44.000,2014.000,2024.000,5.714,-0.003,0.490,0.011
CE2527,East,Gangneung,salinity_b_adj,44.000,2014.000,2024.000,8.150,-0.004,0.812,0.001
CE2527,East,Gangneung,temp_b_adj,44.000,2014.000,2024.000,101.106,-0.050,0.814,0.001
CE2529,East,Gangneung,COD_b_adj,44.000,2014.000,2024.000,-169.335,0.084,0.004,0.182
CE2529,East,Gangneung,Chla_b_adj,44.000,2014.000,2024.000,47.103,-0.023,0.643,0.005
CE2529,East,Gangneung,DIN_b_adj,44.000,2014.000,2024.000,-12087.994,5.986,0.011,0.143
CE2529,East,Gangneung,DIP_b_adj,44.000,2014.000,2024.000,-1562.351,0.774,0.038,0.098
CE2529,East,Gangneung,DO_b_adj,44.000,2014.000,2024.000,237.601,-0.118,0.037,0.100
CE2529,East,Gangneung,NH3-N_b_adj,44.000,2014.000,2024.000,-721.112,0.357,0.490,0.011
CE2529,East,Gangneung,NO2-_b_adj,44.000,2014.000,2024.000,-510.144,0.253,0.030,0.108
CE2529,East,Gangneung,NO3-_b_adj,44.000,2014.000,2024.000,-10855.939,5.376,0.017,0.129
CE2529,East,Gangneung,SAS_b_adj,44.000,2014.000,2024.000,-22506.036,11.145,0.035,0.102
CE2529,East,Gangneung,SS_b_adj,44.000,2014.000,2024.000,-543.703,0.269,0.092,0.066
CE2529,East,Gangneung,TN_b_adj,44.000,2014.000,2024.000,7464.464,-3.696,0.131,0.053
CE2529,East,Gangneung,TP_b_adj,44.000,2014.000,2024.000,-1734.036,0.859,0.020,0.123
CE2529,East,Gangneung,pH_b_adj,44.000,2014.000,2024.000,9.271,-0.005,0.291,0.027
CE2529,East,Gangneung,salinity_b_adj,44.000,2014.000,2024.000,16.971,-0.008,0.629,0.006
CE2529,East,Gangneung,temp_b_adj,44.000,2014.000,2024.000,-261.262,0.129,0.560,0.008
CE2533,East,Gangneung,COD_b_adj,44.000,2014.000,2024.000,-179.788,0.089,0.007,0.163
CE2533,East,Gangneung,Chla_b_adj,44.000,2014.000,2024.000,1.600,-0.001,0.989,0.000
CE2533,East,Gangneung,DIN_b_adj,44.000,2014.000,2024.000,-2851.377,1.412,0.445,0.014
CE2533,East,Gangneung,DIP_b_adj,44.000,2014.000,2024.000,-98.269,0.049,0.856,0.001
CE2533,East,Gangneung,DO_b_adj,44.000,2014.000,2024.000,111.786,-0.055,0.242,0.032
CE2533,East,Gangneung,NH3-N_b_adj,44.000,2014.000,2024.000,-524.786,0.260,0.382,0.018
CE2533,East,Gangneung,NO2-_b_adj,44.000,2014.000,2024.000,-73.693,0.036,0.627,0.006
CE2533,East,Gangneung,NO3-_b_adj,44.000,2014.000,2024.000,-2254.675,1.117,0.516,0.010
CE2533,East,Gangneung,SAS_b_adj,44.000,2014.000,2024.000,-5438.894,2.693,0.585,0.007
CE2533,East,Gangneung,SS_b_adj,44.000,2014.000,2024.000,-691.630,0.342,0.216,0.036
CE2533,East,Gangneung,TN_b_adj,44.000,2014.000,2024.000,8486.316,-4.202,0.047,0.090
CE2533,East,Gangneung,TP_b_adj,44.000,2014.000,2024.000,-19.047,0.009,0.972,0.000
CE2533,East,Gangneung,pH_b_adj,44.000,2014.000,2024.000,3.090,-0.002,0.693,0.004
CE2533,East,Gangneung,salinity_b_adj,44.000,2014.000,2024.000,44.026,-0.022,0.410,0.016
CE2533,East,Gangneung,temp_b_adj,44.000,2014.000,2024.000,-410.532,0.203,0.411,0.016
CE2534,East,Gangneung,COD_b_adj,44.000,2014.000,2024.000,-94.674,0.047,0.085,0.069
CE2534,East,Gangneung,Chla_b_adj,44.000,2014.000,2024.000,73.206,-0.036,0.492,0.011
CE2534,East,Gangneung,DIN_b_adj,44.000,2014.000,2024.000,-5218.425,2.584,0.173,0.044
CE2534,East,Gangneung,DIP_b_adj,44.000,2014.000,2024.000,-725.301,0.359,0.216,0.036
CE2534,East,Gangneung,DO_b_adj,44.000,2014.000,2024.000,40.499,-0.020,0.714,0.003
CE2534,East,Gangneung,NH3-N_b_adj,44.000,2014.000,2024.000,-594.949,0.295,0.368,0.019
CE2534,East,Gangneung,NO2-_b_adj,44.000,2014.000,2024.000,-137.340,0.068,0.384,0.018
CE2534,East,Gangneung,NO3-_b_adj,44.000,2014.000,2024.000,-4484.297,2.221,0.202,0.038
CE2534,East,Gangneung,SAS_b_adj,44.000,2014.000,2024.000,-9091.549,4.502,0.331,0.023
CE2534,East,Gangneung,SS_b_adj,44.000,2014.000,2024.000,-370.871,0.184,0.350,0.021
CE2534,East,Gangneung,TN_b_adj,44.000,2014.000,2024.000,6414.680,-3.177,0.185,0.041
CE2534,East,Gangneung,TP_b_adj,44.000,2014.000,2024.000,-391.090,0.194,0.534,0.009
CE2534,East,Gangneung,pH_b_adj,44.000,2014.000,2024.000,3.425,-0.002,0.667,0.004
CE2534,East,Gangneung,salinity_b_adj,44.000,2014.000,2024.000,24.845,-0.012,0.552,0.008
CE2534,East,Gangneung,temp_b_adj,44.000,2014.000,2024.000,-153.264,0.076,0.743,0.003
CE2535,East,Gangneung,COD_b_adj,44.000,2014.000,2024.000,-171.301,0.085,0.001,0.237
CE2535,East,Gangneung,Chla_b_adj,44.000,2014.000,2024.000,0.747,-0.000,0.994,0.000
CE2535,East,Gangneung,DIN_b_adj,44.000,2014.000,2024.000,-8121.574,4.022,0.124,0.055
CE2535,East,Gangneung,DIP_b_adj,44.000,2014.000,2024.000,-1271.318,0.630,0.085,0.069
CE2535,East,Gangneung,DO_b_adj,44.000,2014.000,2024.000,150.855,-0.075,0.107,0.061
CE2535,East,Gangneung,NH3-N_b_adj,44.000,2014.000,2024.000,-1335.446,0.661,0.482,0.012
CE2535,East,Gangneung,NO2-_b_adj,44.000,2014.000,2024.000,-168.832,0.084,0.314,0.024
CE2535,East,Gangneung,NO3-_b_adj,44.000,2014.000,2024.000,-6620.204,3.278,0.121,0.056
CE2535,East,Gangneung,SAS_b_adj,44.000,2014.000,2024.000,-12083.540,5.984,0.218,0.036
CE2535,East,Gangneung,SS_b_adj,44.000,2014.000,2024.000,-33.405,0.017,0.944,0.000
CE2535,East,Gangneung,TN_b_adj,44.000,2014.000,2024.000,8533.608,-4.226,0.116,0.058
CE2535,East,Gangneung,TP_b_adj,44.000,2014.000,2024.000,-1384.057,0.685,0.090,0.067
CE2535,East,Gangneung,pH_b_adj,44.000,2014.000,2024.000,4.006,-0.002,0.650,0.005
CE2535,East,Gangneung,salinity_b_adj,44.000,2014.000,2024.000,0.225,-0.000,0.995,0.000
CE2535,East,Gangneung,temp_b_adj,44.000,2014.000,2024.000,-107.525,0.053,0.810,0.001
CE2537,East,Gangneung,COD_b_adj,44.000,2014.000,2024.000,-127.633,0.063,0.034,0.103
CE2537,East,Gangneung,Chla_b_adj,44.000,2014.000,2024.000,52.838,-0.026,0.669,0.004
CE2537,East,Gangneung,DIN_b_adj,44.000,2014.000,2024.000,-10999.166,5.447,0.038,0.099
CE2537,East,Gangneung,DIP_b_adj,44.000,2014.000,2024.000,-1570.858,0.778,0.036,0.101
CE2537,East,Gangneung,DO_b_adj,44.000,2014.000,2024.000,168.068,-0.083,0.093,0.066
CE2537,East,Gangneung,NH3-N_b_adj,44.000,2014.000,2024.000,-1703.087,0.843,0.193,0.040
CE2537,East,Gangneung,NO2-_b_adj,44.000,2014.000,2024.000,-285.142,0.141,0.187,0.041
CE2537,East,Gangneung,NO3-_b_adj,44.000,2014.000,2024.000,-9013.242,4.463,0.052,0.087
CE2537,East,Gangneung,SAS_b_adj,44.000,2014.000,2024.000,-20745.411,10.273,0.051,0.087
CE2537,East,Gangneung,SS_b_adj,44.000,2014.000,2024.000,-191.670,0.095,0.556,0.008
CE2537,East,Gangneung,TN_b_adj,44.000,2014.000,2024.000,2065.303,-1.023,0.699,0.004
CE2537,East,Gangneung,TP_b_adj,44.000,2014.000,2024.000,-1396.915,0.692,0.065,0.079
CE2537,East,Gangneung,pH_b_adj,44.000,2014.000,2024.000,8.403,-0.004,0.259,0.030
CE2537,East,Gangneung,salinity_b_adj,44.000,2014.000,2024.000,18.853,-0.009,0.656,0.005
CE2537,East,Gangneung,temp_b_adj,44.000,2014.000,2024.000,-237.109,0.117,0.603,0.007
CE2543,East,Sokcho,COD_b_adj,44.000,2014.000,2024.000,-199.546,0.099,0.000,0.289
CE2543,East,Sokcho,Chla_b_adj,44.000,2014.000,2024.000,-56.887,0.028,0.539,0.009
CE2543,East,Sokcho,DIN_b_adj,44.000,2014.000,2024.000,-5025.679,2.489,0.311,0.024
CE2543,East,Sokcho,DIP_b_adj,44.000,2014.000,2024.000,-663.273,0.328,0.416,0.016
CE2543,East,Sokcho,DO_b_adj,44.000,2014.000,2024.000,55.963,-0.028,0.596,0.007
CE2543,East,Sokcho,NH3-N_b_adj,44.000,2014.000,2024.000,-1267.755,0.628,0.101,0.063
CE2543,East,Sokcho,NO2-_b_adj,44.000,2014.000,2024.000,-136.939,0.068,0.399,0.017
CE2543,East,Sokcho,NO3-_b_adj,44.000,2014.000,2024.000,-3621.025,1.793,0.440,0.014
CE2543,East,Sokcho,SAS_b_adj,44.000,2014.000,2024.000,-7789.936,3.858,0.487,0.012
CE2543,East,Sokcho,SS_b_adj,44.000,2014.000,2024.000,-441.840,0.219,0.174,0.044
CE2543,East,Sokcho,TN_b_adj,44.000,2014.000,2024.000,12383.522,-6.132,0.018,0.125
CE2543,East,Sokcho,TP_b_adj,44.000,2014.000,2024.000,-618.236,0.306,0.415,0.016
CE2543,East,Sokcho,pH_b_adj,44.000,2014.000,2024.000,2.934,-0.001,0.737,0.003
CE2543,East,Sokcho,salinity_b_adj,44.000,2014.000,2024.000,34.580,-0.017,0.313,0.024
CE2543,East,Sokcho,temp_b_adj,44.000,2014.000,2024.000,-286.761,0.142,0.526,0.010
CE2547,East,Gosung,COD_b_adj,44.000,2014.000,2024.000,-119.207,0.059,0.016,0.130
CE2547,East,Gosung,Chla_b_adj,44.000,2014.000,2024.000,-70.770,0.035,0.434,0.015
CE2547,East,Gosung,DIN_b_adj,44.000,2014.000,2024.000,3340.143,-1.654,0.315,0.024
CE2547,East,Gosung,DIP_b_adj,44.000,2014.000,2024.000,619.055,-0.307,0.270,0.029
CE2547,East,Gosung,DO_b_adj,44.000,2014.000,2024.000,9.646,-0.005,0.929,0.000
CE2547,East,Gosung,NH3-N_b_adj,44.000,2014.000,2024.000,430.228,-0.213,0.484,0.012
CE2547,East,Gosung,NO2-_b_adj,44.000,2014.000,2024.000,77.602,-0.038,0.596,0.007
CE2547,East,Gosung,NO3-_b_adj,44.000,2014.000,2024.000,2827.706,-1.400,0.367,0.019
CE2547,East,Gosung,SAS_b_adj,44.000,2014.000,2024.000,9820.109,-4.863,0.270,0.029
CE2547,East,Gosung,SS_b_adj,44.000,2014.000,2024.000,728.635,-0.361,0.090,0.067
CE2547,East,Gosung,TN_b_adj,44.000,2014.000,2024.000,7994.471,-3.959,0.028,0.109
CE2547,East,Gosung,TP_b_adj,44.000,2014.000,2024.000,378.302,-0.187,0.515,0.010
CE2547,East,Gosung,pH_b_adj,44.000,2014.000,2024.000,-0.117,0.000,0.988,0.000
CE2547,East,Gosung,salinity_b_adj,44.000,2014.000,2024.000,50.004,-0.025,0.355,0.020
CE2547,East,Gosung,temp_b_adj,44.000,2014.000,2024.000,-404.073,0.200,0.513,0.010
CJ2601,Jeju,Jeju,COD_b_adj,44.000,2014.000,2024.000,-114.115,0.057,0.054,0.086
CJ2601,Jeju,Jeju,Chla_b_adj,44.000,2014.000,2024.000,29.279,-0.014,0.684,0.004
CJ2601,Jeju,Jeju,DIN_b_adj,44.000,2014.000,2024.000,-509.961,0.253,0.882,0.001
CJ2601,Jeju,Jeju,DIP_b_adj,44.000,2014.000,2024.000,234.914,-0.116,0.650,0.005
CJ2601,Jeju,Jeju,DO_b_adj,44.000,2014.000,2024.000,63.965,-0.032,0.537,0.009
CJ2601,Jeju,Jeju,NH3-N_b_adj,44.000,2014.000,2024.000,-71.163,0.035,0.941,0.000
CJ2601,Jeju,Jeju,NO2-_b_adj,44.000,2014.000,2024.000,-250.730,0.124,0.203,0.038
CJ2601,Jeju,Jeju,NO3-_b_adj,44.000,2014.000,2024.000,-53.502,0.026,0.986,0.000
CJ2601,Jeju,Jeju,SAS_b_adj,44.000,2014.000,2024.000,6705.676,-3.321,0.434,0.015
CJ2601,Jeju,Jeju,SS_b_adj,44.000,2014.000,2024.000,-754.632,0.374,0.452,0.014
CJ2601,Jeju,Jeju,TN_b_adj,44.000,2014.000,2024.000,16507.618,-8.175,0.000,0.340
CJ2601,Jeju,Jeju,TP_b_adj,44.000,2014.000,2024.000,-39.401,0.020,0.905,0.000
CJ2601,Jeju,Jeju,pH_b_adj,44.000,2014.000,2024.000,-3.653,0.002,0.846,0.001
CJ2601,Jeju,Jeju,salinity_b_adj,44.000,2014.000,2024.000,112.311,-0.056,0.437,0.014
CJ2601,Jeju,Jeju,temp_b_adj,44.000,2014.000,2024.000,-551.294,0.273,0.197,0.039
CJ2603,Jeju,Jeju,COD_b_adj,44.000,2014.000,2024.000,-102.016,0.051,0.090,0.067
CJ2603,Jeju,Jeju,Chla_b_adj,44.000,2014.000,2024.000,-22.125,0.011,0.769,0.002
CJ2603,Jeju,Jeju,DIN_b_adj,44.000,2014.000,2024.000,693.099,-0.343,0.797,0.002
CJ2603,Jeju,Jeju,DIP_b_adj,44.000,2014.000,2024.000,53.909,-0.027,0.903,0.000
CJ2603,Jeju,Jeju,DO_b_adj,44.000,2014.000,2024.000,-17.005,0.008,0.862,0.001
CJ2603,Jeju,Jeju,NH3-N_b_adj,44.000,2014.000,2024.000,-7.292,0.004,0.996,0.000
CJ2603,Jeju,Jeju,NO2-_b_adj,44.000,2014.000,2024.000,-205.640,0.102,0.273,0.029
CJ2603,Jeju,Jeju,NO3-_b_adj,44.000,2014.000,2024.000,903.238,-0.447,0.748,0.002
CJ2603,Jeju,Jeju,SAS_b_adj,44.000,2014.000,2024.000,3815.106,-1.889,0.551,0.009
CJ2603,Jeju,Jeju,SS_b_adj,44.000,2014.000,2024.000,-1894.988,0.938,0.041,0.095
CJ2603,Jeju,Jeju,TN_b_adj,44.000,2014.000,2024.000,14625.220,-7.242,0.002,0.209
CJ2603,Jeju,Jeju,TP_b_adj,44.000,2014.000,2024.000,-496.599,0.246,0.198,0.039
CJ2603,Jeju,Jeju,pH_b_adj,44.000,2014.000,2024.000,20.019,-0.010,0.142,0.051
CJ2603,Jeju,Jeju,salinity_b_adj,44.000,2014.000,2024.000,142.638,-0.071,0.263,0.030
CJ2603,Jeju,Jeju,temp_b_adj,44.000,2014.000,2024.000,-614.201,0.304,0.116,0.058
CJ2604,Jeju,Gujwa,COD_b_adj,44.000,2014.000,2024.000,-138.083,0.068,0.013,0.139
CJ2604,Jeju,Gujwa,Chla_b_adj,44.000,2014.000,2024.000,26.114,-0.013,0.645,0.005
CJ2604,Jeju,Gujwa,DIN_b_adj,44.000,2014.000,2024.000,-1031.253,0.511,0.710,0.003
CJ2604,Jeju,Gujwa,DIP_b_adj,44.000,2014.000,2024.000,-93.212,0.046,0.832,0.001
CJ2604,Jeju,Gujwa,DO_b_adj,44.000,2014.000,2024.000,105.350,-0.052,0.323,0.023
CJ2604,Jeju,Gujwa,NH3-N_b_adj,44.000,2014.000,2024.000,694.305,-0.344,0.385,0.018
CJ2604,Jeju,Gujwa,NO2-_b_adj,44.000,2014.000,2024.000,-4.175,0.002,0.993,0.000
CJ2604,Jeju,Gujwa,NO3-_b_adj,44.000,2014.000,2024.000,-1724.548,0.854,0.490,0.011
CJ2604,Jeju,Gujwa,SAS_b_adj,44.000,2014.000,2024.000,2252.378,-1.115,0.603,0.006
CJ2604,Jeju,Gujwa,SS_b_adj,44.000,2014.000,2024.000,-648.938,0.321,0.457,0.013
CJ2604,Jeju,Gujwa,TN_b_adj,44.000,2014.000,2024.000,13131.039,-6.503,0.001,0.243
CJ2604,Jeju,Gujwa,TP_b_adj,44.000,2014.000,2024.000,-564.164,0.279,0.121,0.056
CJ2604,Jeju,Gujwa,pH_b_adj,44.000,2014.000,2024.000,10.913,-0.005,0.352,0.021
CJ2604,Jeju,Gujwa,salinity_b_adj,44.000,2014.000,2024.000,56.677,-0.028,0.633,0.005
CJ2604,Jeju,Gujwa,temp_b_adj,44.000,2014.000,2024.000,-482.934,0.239,0.206,0.038
CJ2607,Jeju,Sungsanpo,COD_b_adj,44.000,2014.000,2024.000,-94.510,0.047,0.175,0.043
CJ2607,Jeju,Sungsanpo,Chla_b_adj,44.000,2014.000,2024.000,20.212,-0.010,0.673,0.004
CJ2607,Jeju,Sungsanpo,DIN_b_adj,44.000,2014.000,2024.000,2146.926,-1.063,0.365,0.020
CJ2607,Jeju,Sungsanpo,DIP_b_adj,44.000,2014.000,2024.000,263.666,-0.131,0.534,0.009
CJ2607,Jeju,Sungsanpo,DO_b_adj,44.000,2014.000,2024.000,-7.678,0.004,0.932,0.000
CJ2607,Jeju,Sungsanpo,NH3-N_b_adj,44.000,2014.000,2024.000,504.007,-0.250,0.503,0.011
CJ2607,Jeju,Sungsanpo,NO2-_b_adj,44.000,2014.000,2024.000,-44.697,0.022,0.769,0.002
CJ2607,Jeju,Sungsanpo,NO3-_b_adj,44.000,2014.000,2024.000,1688.660,-0.836,0.440,0.014
CJ2607,Jeju,Sungsanpo,SAS_b_adj,44.000,2014.000,2024.000,10573.280,-5.236,0.032,0.105
CJ2607,Jeju,Sungsanpo,SS_b_adj,44.000,2014.000,2024.000,-2564.498,1.270,0.001,0.241
CJ2607,Jeju,Sungsanpo,TN_b_adj,44.000,2014.000,2024.000,17376.659,-8.605,0.000,0.330
CJ2607,Jeju,Sungsanpo,TP_b_adj,44.000,2014.000,2024.000,-399.182,0.198,0.267,0.029
CJ2607,Jeju,Sungsanpo,pH_b_adj,44.000,2014.000,2024.000,-0.638,0.000,0.963,0.000
CJ2607,Jeju,Sungsanpo,salinity_b_adj,44.000,2014.000,2024.000,71.166,-0.035,0.468,0.013
CJ2607,Jeju,Sungsanpo,temp_b_adj,44.000,2014.000,2024.000,-556.969,0.276,0.109,0.060
CJ2614,Jeju,Daejung,COD_b_adj,44.000,2014.000,2024.000,-101.341,0.050,0.132,0.053
CJ2614,Jeju,Daejung,Chla_b_adj,44.000,2014.000,2024.000,35.523,-0.018,0.572,0.008
CJ2614,Jeju,Daejung,DIN_b_adj,44.000,2014.000,2024.000,1909.708,-0.946,0.484,0.012
CJ2614,Jeju,Daejung,DIP_b_adj,44.000,2014.000,2024.000,206.809,-0.102,0.613,0.006
