region,admin,variable,n_points,start_year,end_year,intercept,slope,p_value,r^2
Jeju,Sungsanpo,TP_b_adj,44.000,2014.000,2024.000,-399.182,0.198,0.267,0.029
Jeju,Sungsanpo,pH_b_adj,44.000,2014.000,2024.000,-0.638,0.000,0.963,0.000
Jeju,Sungsanpo,salinity_b_adj,44.000,2014.000,2024.000,71.166,-0.035,0.468,0.013
Jeju,Sungsanpo,temp_b_adj,44.000,2014.000,2024.000,-556.969,0.276,0.109,0.060
South,Geoje,COD_b_adj,44.000,2014.000,2024.000,-72.226,0.036,0.099,0.064
South,Geoje,Chla_b_adj,44.000,2014.000,2024.000,96.016,-0.048,0.385,0.018
South,Geoje,DIN_b_adj,44.000,2014.000,2024.000,-4078.300,2.020,0.342,0.022
South,Geoje,DIP_b_adj,44.000,2014.000,2024.000,-917.305,0.454,0.188,0.041
South,Geoje,DO_b_adj,44.000,2014.000,2024.000,134.323,-0.067,0.322,0.023
South,Geoje,NH3-N_b_adj,44.000,2014.000,2024.000,-422.997,0.209,0.672,0.004
South,Geoje,NO2-_b_adj,44.000,2014.000,2024.000,120.905,-0.060,0.760,0.002
South,Geoje,NO3-_b_adj,44.000,2014.000,2024.000,-3764.577,1.864,0.285,0.027
South,Geoje,SAS_b_adj,44.000,2014.000,2024.000,-9207.942,4.560,0.476,0.012
South,Geoje,SS_b_adj,44.000,2014.000,2024.000,-642.524,0.318,0.116,0.058
South,Geoje,TN_b_adj,44.000,2014.000,2024.000,10397.663,-5.149,0.078,0.072
South,Geoje,TP_b_adj,44.000,2014.000,2024.000,-1042.939,0.516,0.173,0.044
South,Geoje,pH_b_adj,44.000,2014.000,2024.000,25.192,-0.012,0.046,0.092
South,Geoje,salinity_b_adj,44.000,2014.000,2024.000,69.411,-0.034,0.339,0.022
South,Geoje,temp_b_adj,44.000,2014.000,2024.000,-341.292,0.169,0.445,0.014
South,Gijang,COD_b_adj,44.000,2014.000,2024.000,-186.064,0.092,0.000,0.373
South,Gijang,Chla_b_adj,44.000,2014.000,2024.000,-143.635,0.071,0.152,0.048
South,Gijang,DIN_b_adj,44.000,2014.000,2024.000,-2494.166,1.235,0.544,0.009
South,Gijang,DIP_b_adj,44.000,2014.000,2024.000,-965.662,0.478,0.139,0.051
South,Gijang,DO_b_adj,44.000,2014.000,2024.000,-5.482,0.003,0.956,0.000
South,Gijang,NH3-N_b_adj,44.000,2014.000,2024.000,182.087,-0.090,0.808,0.001
South,Gijang,NO2-_b_adj,44.000,2014.000,2024.000,226.962,-0.112,0.404,0.017
South,Gijang,NO3-_b_adj,44.000,2014.000,2024.000,-2919.622,1.446,0.493,0.011
South,Gijang,SAS_b_adj,44.000,2014.000,2024.000,-4467.053,2.212,0.692,0.004
South,Gijang,SS_b_adj,44.000,2014.000,2024.000,-329.466,0.163,0.664,0.005
South,Gijang,TN_b_adj,44.000,2014.000,2024.000,17564.327,-8.698,0.002,0.210
South,Gijang,TP_b_adj,44.000,2014.000,2024.000,-623.447,0.309,0.450,0.014
South,Gijang,pH_b_adj,44.000,2014.000,2024.000,14.672,-0.007,0.135,0.053
South,Gijang,salinity_b_adj,44.000,2014.000,2024.000,36.955,-0.018,0.534,0.009
South,Gijang,temp_b_adj,44.000,2014.000,2024.000,-298.691,0.148,0.351,0.021
South,Gosung,COD_b_adj,44.000,2014.000,2024.000,-143.033,0.071,0.003,0.194
South,Gosung,Chla_b_adj,44.000,2014.000,2024.000,-50.150,0.025,0.564,0.008
South,Gosung,DIN_b_adj,44.000,2014.000,2024.000,4958.034,-2.455,0.216,0.036
South,Gosung,DIP_b_adj,44.000,2014.000,2024.000,-537.289,0.266,0.478,0.012
South,Gosung,DO_b_adj,44.000,2014.000,2024.000,91.006,-0.045,0.570,0.008
South,Gosung,NH3-N_b_adj,44.000,2014.000,2024.000,1093.165,-0.541,0.546,0.009
South,Gosung,NO2-_b_adj,44.000,2014.000,2024.000,1403.782,-0.695,0.099,0.063
South,Gosung,NO3-_b_adj,44.000,2014.000,2024.000,2368.649,-1.173,0.281,0.028
South,Gosung,SAS_b_adj,44.000,2014.000,2024.000,-44176.591,21.876,0.086,0.069
South,Gosung,SS_b_adj,44.000,2014.000,2024.000,1202.914,-0.596,0.043,0.094
South,Gosung,TN_b_adj,44.000,2014.000,2024.000,18946.809,-9.383,0.003,0.193
South,Gosung,TP_b_adj,44.000,2014.000,2024.000,-895.253,0.443,0.309,0.025
South,Gosung,pH_b_adj,44.000,2014.000,2024.000,28.733,-0.014,0.067,0.077
South,Gosung,salinity_b_adj,44.000,2014.000,2024.000,48.667,-0.024,0.590,0.007
South,Gosung,temp_b_adj,44.000,2014.000,2024.000,-358.571,0.178,0.560,0.008
South,Sacheon,COD_b_adj,44.000,2014.000,2024.000,-184.988,0.092,0.000,0.262
South,Sacheon,Chla_b_adj,44.000,2014.000,2024.000,138.921,-0.069,0.205,0.038
South,Sacheon,DIN_b_adj,44.000,2014.000,2024.000,-326.899,0.162,0.932,0.000
South,Sacheon,DIP_b_adj,44.000,2014.000,2024.000,-101.743,0.050,0.863,0.001
South,Sacheon,DO_b_adj,44.000,2014.000,2024.000,144.081,-0.071,0.433,0.015
South,Sacheon,NH3-N_b_adj,44.000,2014.000,2024.000,-51.236,0.025,0.972,0.000
South,Sacheon,NO2-_b_adj,44.000,2014.000,2024.000,1023.252,-0.507,0.273,0.029
South,Sacheon,NO3-_b_adj,44.000,2014.000,2024.000,-1095.861,0.543,0.608,0.006
South,Sacheon,SAS_b_adj,44.000,2014.000,2024.000,-11677.372,5.783,0.515,0.010
South,Sacheon,SS_b_adj,44.000,2014.000,2024.000,-354.118,0.175,0.482,0.012
South,Sacheon,TN_b_adj,44.000,2014.000,2024.000,19292.566,-9.554,0.003,0.190
South,Sacheon,TP_b_adj,44.000,2014.000,2024.000,-919.235,0.455,0.303,0.025
South,Sacheon,pH_b_adj,44.000,2014.000,2024.000,24.488,-0.012,0.099,0.063
South,Sacheon,salinity_b_adj,44.000,2014.000,2024.000,57.089,-0.028,0.387,0.018
South,Sacheon,temp_b_adj,44.000,2014.000,2024.000,-363.359,0.180,0.514,0.010
South,Tongyoung,COD_b_adj,44.000,2014.000,2024.000,-106.262,0.053,0.005,0.174
South,Tongyoung,Chla_b_adj,44.000,2014.000,2024.000,233.197,-0.115,0.013,0.137
South,Tongyoung,DIN_b_adj,44.000,2014.000,2024.000,-4947.415,2.450,0.199,0.039
South,Tongyoung,DIP_b_adj,44.000,2014.000,2024.000,-916.530,0.454,0.086,0.068
South,Tongyoung,DO_b_adj,44.000,2014.000,2024.000,158.406,-0.078,0.341,0.022
South,Tongyoung,NH3-N_b_adj,44.000,2014.000,2024.000,-1277.270,0.633,0.337,0.022
South,Tongyoung,NO2-_b_adj,44.000,2014.000,2024.000,928.832,-0.460,0.227,0.035
South,Tongyoung,NO3-_b_adj,44.000,2014.000,2024.000,-4504.720,2.231,0.176,0.043
South,Tongyoung,SAS_b_adj,44.000,2014.000,2024.000,-4540.394,2.248,0.798,0.002
South,Tongyoung,SS_b_adj,44.000,2014.000,2024.000,645.586,-0.320,0.114,0.058
South,Tongyoung,TN_b_adj,44.000,2014.000,2024.000,19451.157,-9.632,0.002,0.209
South,Tongyoung,TP_b_adj,44.000,2014.000,2024.000,697.507,-0.345,0.264,0.030
South,Tongyoung,pH_b_adj,44.000,2014.000,2024.000,25.342,-0.013,0.044,0.093
South,Tongyoung,salinity_b_adj,44.000,2014.000,2024.000,51.047,-0.025,0.392,0.017
South,Tongyoung,temp_b_adj,44.000,2014.000,2024.000,-362.384,0.179,0.363,0.020
South,Yeosu,COD_b_adj,44.000,2014.000,2024.000,-140.365,0.070,0.004,0.182
South,Yeosu,Chla_b_adj,44.000,2014.000,2024.000,396.352,-0.196,0.064,0.080
South,Yeosu,DIN_b_adj,44.000,2014.000,2024.000,-2939.222,1.456,0.434,0.015
South,Yeosu,DIP_b_adj,44.000,2014.000,2024.000,-826.239,0.409,0.243,0.032
South,Yeosu,DO_b_adj,44.000,2014.000,2024.000,196.076,-0.097,0.193,0.040
South,Yeosu,NH3-N_b_adj,44.000,2014.000,2024.000,-2121.415,1.051,0.094,0.065
South,Yeosu,NO2-_b_adj,44.000,2014.000,2024.000,1098.855,-0.544,0.162,0.046
South,Yeosu,NO3-_b_adj,44.000,2014.000,2024.000,-3843.134,1.903,0.257,0.030
South,Yeosu,SAS_b_adj,44.000,2014.000,2024.000,-7254.359,3.592,0.661,0.005
South,Yeosu,SS_b_adj,44.000,2014.000,2024.000,-430.783,0.213,0.299,0.026
South,Yeosu,TN_b_adj,44.000,2014.000,2024.000,16309.476,-8.076,0.004,0.181
South,Yeosu,TP_b_adj,44.000,2014.000,2024.000,-1500.123,0.743,0.023,0.117
South,Yeosu,pH_b_adj,44.000,2014.000,2024.000,20.647,-0.010,0.072,0.075
South,Yeosu,salinity_b_adj,44.000,2014.000,2024.000,19.265,-0.010,0.761,0.002
South,Yeosu,temp_b_adj,44.000,2014.000,2024.000,-177.329,0.088,0.714,0.003
West,Gochang,COD_b_adj,44.000,2014.000,2024.000,-124.632,0.062,0.054,0.085
West,Gochang,Chla_b_adj,44.000,2014.000,2024.000,466.149,-0.231,0.647,0.005
West,Gochang,DIN_b_adj,44.000,2014.000,2024.000,-6167.869,3.054,0.296,0.026
West,Gochang,DIP_b_adj,44.000,2014.000,2024.000,-589.383,0.292,0.504,0.011
West,Gochang,DO_b_adj,44.000,2014.000,2024.000,99.904,-0.049,0.568,0.008
West,Gochang,NH3-N_b_adj,44.000,2014.000,2024.000,-1448.365,0.717,0.419,0.016
West,Gochang,NO2-_b_adj,44.000,2014.000,2024.000,-1435.673,0.711,0.236,0.033
West,Gochang,NO3-_b_adj,44.000,2014.000,2024.000,-3243.001,1.606,0.408,0.016
West,Gochang,SAS_b_adj,44.000,2014.000,2024.000,-15145.819,7.500,0.507,0.011
West,Gochang,SS_b_adj,44.000,2014.000,2024.000,-15820.769,7.834,0.131,0.053
West,Gochang,TN_b_adj,44.000,2014.000,2024.000,30995.561,-15.349,0.020,0.121
West,Gochang,TP_b_adj,44.000,2014.000,2024.000,5598.880,-2.773,0.230,0.034
West,Gochang,pH_b_adj,44.000,2014.000,2024.000,14.954,-0.007,0.283,0.027
West,Gochang,salinity_b_adj,44.000,2014.000,2024.000,117.162,-0.058,0.012,0.142
West,Gochang,temp_b_adj,44.000,2014.000,2024.000,-347.578,0.172,0.678,0.004
West,Gohung,COD_b_adj,44.000,2014.000,2024.000,-136.228,0.067,0.000,0.272
West,Gohung,Chla_b_adj,44.000,2014.000,2024.000,42.360,-0.021,0.639,0.005
West,Gohung,DIN_b_adj,44.000,2014.000,2024.000,-5105.215,2.528,0.083,0.070
West,Gohung,DIP_b_adj,44.000,2014.000,2024.000,-738.509,0.366,0.091,0.067
West,Gohung,DO_b_adj,44.000,2014.000,2024.000,80.948,-0.040,0.508,0.011
West,Gohung,NH3-N_b_adj,44.000,2014.000,2024.000,-1044.622,0.517,0.109,0.060
West,Gohung,NO2-_b_adj,44.000,2014.000,2024.000,-1012.714,0.501,0.264,0.030
West,Gohung,NO3-_b_adj,44.000,2014.000,2024.000,-3440.795,1.704,0.125,0.055
West,Gohung,SAS_b_adj,44.000,2014.000,2024.000,-19075.649,9.446,0.095,0.065
West,Gohung,SS_b_adj,44.000,2014.000,2024.000,-1752.233,0.868,0.231,0.034
West,Gohung,TN_b_adj,44.000,2014.000,2024.000,16041.996,-7.944,0.004,0.182
West,Gohung,TP_b_adj,44.000,2014.000,2024.000,-1096.273,0.543,0.128,0.054
West,Gohung,pH_b_adj,44.000,2014.000,2024.000,33.060,-0.016,0.001,0.226
West,Gohung,salinity_b_adj,44.000,2014.000,2024.000,87.689,-0.043,0.237,0.033
West,Gohung,temp_b_adj,44.000,2014.000,2024.000,-271.142,0.134,0.646,0.005
West,Jindo,COD_b_adj,44.000,2014.000,2024.000,-133.974,0.066,0.003,0.192
West,Jindo,Chla_b_adj,44.000,2014.000,2024.000,160.731,-0.080,0.077,0.073
West,Jindo,DIN_b_adj,44.000,2014.000,2024.000,-6003.869,2.973,0.104,0.062
West,Jindo,DIP_b_adj,44.000,2014.000,2024.000,-851.496,0.422,0.097,0.064
West,Jindo,DO_b_adj,44.000,2014.000,2024.000,243.383,-0.121,0.054,0.086
West,Jindo,NH3-N_b_adj,44.000,2014.000,2024.000,-1662.699,0.823,0.014,0.135
West,Jindo,NO2-_b_adj,44.000,2014.000,2024.000,-19.157,0.009,0.946,0.000
West,Jindo,NO3-_b_adj,44.000,2014.000,2024.000,-4859.360,2.406,0.179,0.043
West,Jindo,SAS_b_adj,44.000,2014.000,2024.000,6013.934,-2.978,0.567,0.008
West,Jindo,SS_b_adj,44.000,2014.000,2024.000,4411.336,-2.185,0.063,0.080
West,Jindo,TN_b_adj,44.000,2014.000,2024.000,14333.399,-7.098,0.004,0.178
West,Jindo,TP_b_adj,44.000,2014.000,2024.000,2000.211,-0.991,0.102,0.062
West,Jindo,pH_b_adj,44.000,2014.000,2024.000,-1.204,0.001,0.894,0.000
West,Jindo,salinity_b_adj,44.000,2014.000,2024.000,83.669,-0.041,0.167,0.045
West,Jindo,temp_b_adj,44.000,2014.000,2024.000,-510.960,0.253,0.347,0.021
West,Muan,COD_b_adj,44.000,2014.000,2024.000,-139.898,0.069,0.007,0.162
West,Muan,Chla_b_adj,44.000,2014.000,2024.000,-98.802,0.049,0.601,0.007
